year_month,monthly_count,monthly_avg_mag,monthly_max_mag,date,count_lag_1,avg_mag_lag_1,max_mag_lag_1,count_lag_3,avg_mag_lag_3,max_mag_lag_3,count_lag_6,avg_mag_lag_6,max_mag_lag_6,count_roll_3,avg_mag_roll_3,max_mag_roll_3,count_roll_6,avg_mag_roll_6,max_mag_roll_6,month,month_sin,month_cos,next_month_count,next_month_max_mag
1986-01,1,5.0,5.0,1986-01-01,2.0,4.7,4.7,1.0,4.1,4.1,1.0,4.8,4.8,1.3333333333333333,4.666666666666667,4.666666666666667,1.1666666666666667,4.583333333333333,4.583333333333333,1,0.49999999999999994,0.8660254037844387,1.0,4.9
1986-02,1,4.9,4.9,1986-02-01,1.0,5.0,5.0,1.0,4.3,4.3,1.0,4.4,4.4,1.3333333333333333,4.866666666666666,4.866666666666666,1.1666666666666667,4.666666666666667,4.666666666666667,2,0.8660254037844386,0.5000000000000001,1.0,4.7
1986-03,1,4.7,4.7,1986-03-01,1.0,4.9,4.9,2.0,4.7,4.7,1.0,5.0,5.0,1.0,4.866666666666667,4.866666666666667,1.1666666666666667,4.616666666666667,4.616666666666666,3,1.0,6.123233995736766e-17,3.0,5.0
1986-05,3,4.833333333333333,5.0,1986-05-01,1.0,4.7,4.7,1.0,5.0,5.0,1.0,4.1,4.1,1.6666666666666667,4.811111111111111,4.866666666666667,1.5,4.738888888888889,4.766666666666667,5,0.49999999999999994,-0.8660254037844387,2.0,4.2
1986-06,2,4.15,4.2,1986-06-01,3.0,4.833333333333333,5.0,1.0,4.9,4.9,1.0,4.3,4.3,2.0,4.561111111111111,4.633333333333334,1.6666666666666667,4.713888888888889,4.75,6,1.2246467991473532e-16,-1.0,2.0,4.6
1986-07,2,4.55,4.6,1986-07-01,2.0,4.15,4.2,1.0,4.7,4.7,2.0,4.7,4.7,2.3333333333333335,4.511111111111112,4.6,1.6666666666666667,4.688888888888889,4.733333333333333,7,-0.4999999999999997,-0.8660254037844388,1.0,4.8
1986-10,1,4.8,4.8,1986-10-01,2.0,4.55,4.6,3.0,4.833333333333333,5.0,1.0,5.0,5.0,1.6666666666666667,4.5,4.533333333333334,1.6666666666666667,4.655555555555556,4.7,10,-0.8660254037844386,0.5000000000000001,11.0,6.2
1987-01,11,4.845454545454545,6.2,1987-01-01,1.0,4.8,4.8,2.0,4.15,4.2,1.0,4.9,4.9,4.666666666666667,4.7318181818181815,5.2,3.3333333333333335,4.646464646464646,4.916666666666667,1,0.49999999999999994,0.8660254037844387,1.0,4.6
1987-02,1,4.6,4.6,1987-02-01,11.0,4.845454545454545,6.2,2.0,4.55,4.6,1.0,4.7,4.7,4.333333333333333,4.748484848484847,5.2,3.3333333333333335,4.62979797979798,4.8999999999999995,2,0.8660254037844386,0.5000000000000001,1.0,5.0
1987-03,1,5.0,5.0,1987-03-01,1.0,4.6,4.6,1.0,4.8,4.8,3.0,4.833333333333333,5.0,4.333333333333333,4.815151515151515,5.266666666666667,3.0,4.657575757575757,4.8999999999999995,3,1.0,6.123233995736766e-17,1.0,4.1
